Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Brazil,BRA,1850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1901,2.103136,2.103136,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1902,2.506176,2.506176,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1903,2.440224,2.440224,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1904,2.61976,2.61976,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1905,2.799296,2.799296,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1906,3.206,3.206,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1907,3.451488,3.451488,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1908,3.594384,3.594384,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1909,3.60904,3.60904,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1910,4.198944,4.198944,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1911,4.605648,4.605648,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1912,5.591264,5.591264,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1913,6.034608,6.034608,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1914,4.107344,4.107344,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1915,3.143712,3.143712,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1916,2.879904,2.879904,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1917,2.498848,2.498848,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1918,2.322976,2.322976,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1919,3.070432,3.070432,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1920,3.64568,3.64568,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1921,2.890896,2.890896,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1922,3.781248,3.781248,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1923,4.61664,4.61664,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1924,5.103952,5.103952,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1925,5.375088,5.375088,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1926,5.47768,5.47768,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1927,6.074912,6.074912,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,1928,5.927995,5.884384,0.0,0.0,0.043611,0.0,0.0,0.0
Brazil,BRA,1929,6.345662,6.298416,0.0,0.0,0.047246,0.0,0.0,0.0
Brazil,BRA,1930,5.513964,5.470381,0.0,0.0,0.043582,0.0,0.0,0.0
Brazil,BRA,1931,4.168949,4.08536,0.0,0.0,0.083589,0.0,0.0,0.0
