Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas
Cambodia,KHM,1980,0.285792,0.0,0.285792,0.0
Cambodia,KHM,1981,0.300448,0.0,0.300448,0.0
Cambodia,KHM,1982,0.337088,0.0,0.337088,0.0
Cambodia,KHM,1983,0.3664,0.0,0.3664,0.0
Cambodia,KHM,1984,0.410368,0.0,0.410368,0.0
Cambodia,KHM,1985,0.417696,0.0,0.417696,0.0
Cambodia,KHM,1986,0.432352,0.0,0.432352,0.0
Cambodia,KHM,1987,0.436016,0.0,0.436016,0.0
Cambodia,KHM,1988,0.450672,0.0,0.450672,0.0
Cambodia,KHM,1989,0.450672,0.0,0.450672,0.0
Cambodia,KHM,1990,1.260416,0.0,1.260416,0.0
Cambodia,KHM,1991,1.304384,0.0,1.304384,0.0
Cambodia,KHM,1992,1.348352,0.0,1.348352,0.0
Cambodia,KHM,1993,1.384992,0.0,1.384992,0.0
Cambodia,KHM,1994,1.425296,0.0,1.425296,0.0
Cambodia,KHM,1995,1.498576,0.0,1.498576,0.0
Cambodia,KHM,1996,1.516896,0.0,1.516896,0.0
Cambodia,KHM,1997,1.4656,0.0,1.4656,0.0
Cambodia,KHM,1998,1.875968,0.0,1.875968,0.0
Cambodia,KHM,1999,1.894288,0.0,1.894288,0.0
Cambodia,KHM,2000,1.974896,0.0,1.974896,0.0
Cambodia,KHM,2001,2.249696,0.0,2.249696,0.0
Cambodia,KHM,2002,2.205728,0.0,2.205728,0.0
Cambodia,KHM,2003,2.377936,0.0,2.377936,0.0
Cambodia,KHM,2004,2.443888,0.0,2.443888,0.0
Cambodia,KHM,2005,2.773648,0.0,2.773648,0.0
Cambodia,KHM,2006,2.997152,0.0,2.997152,0.0
Cambodia,KHM,2007,3.471142,0.0,3.418512,0.0
Cambodia,KHM,2008,3.866716,0.0,3.495456,0.0
Cambodia,KHM,2009,4.557086,0.029335,4.180291,0.0
Cambodia,KHM,2010,5.078142,0.095333,4.612669,0.0
Cambodia,KHM,2011,5.274698,0.10992,4.733888,0.0
Cambodia,KHM,2012,5.576016,0.153888,4.935408,0.0
Cambodia,KHM,2013,5.63673,0.223504,4.906096,0.0
Cambodia,KHM,2014,6.834254,1.242757,5.081007,0.0
Cambodia,KHM,2015,8.36561,2.205728,5.506992,0.0
Cambodia,KHM,2016,10.921712,3.055776,6.444976,0.0
Cambodia,KHM,2017,12.504842,3.612704,6.591536,0.0
Cambodia,KHM,2018,14.388181,3.839872,7.232736,0.0
Cambodia,KHM,2019,18.024641,4.418784,8.28064,0.0
Cambodia,KHM,2020,18.703284,4.638542,8.739525,0.0
Cambodia,KHM,2021,19.028598,4.698298,8.981376,0.0
