Total,Coal,Oil,Gas,Year
1494.495884,1122.664256,273.202496,27.318784,1980
1476.487854,1125.00473,256.374392,24.387646,1981
1606.585013,1248.85608,257.810032,22.9,1982
1694.216811,1321.84296,263.77136,23.438608,1983
1844.828012,1454.197632,271.451104,24.226368,1984
1998.082904,1584.511456,284.593872,24.819936,1985
2104.213354,1657.391354,303.068297,26.351535,1986
2257.738539,1770.268928,321.523328,26.60064,1987
2425.893553,1892.697824,343.129936,27.311456,1988
2463.654367,1920.239372,354.441244,28.821068,1989
2484.85482,1976.684032,330.29128,29.301008,1990
2606.096182,2049.920064,356.027216,30.7776,1991
2730.787587,2114.714976,385.793018,30.23895,1992
2921.650956,2228.745248,428.548768,35.727664,1993
3100.002045,2380.585832,423.711771,41.568029,1994
3357.908888,2569.753728,468.229888,42.436448,1995
3503.233703,2660.401088,510.622368,44.469968,1996
3510.169286,2609.55576,557.961248,44.158528,1997
3360.455433,2444.771024,559.261968,50.500912,1998
3552.842067,2580.992136,596.751382,54.571558,1999
3644.464203,2601.736784,648.685552,59.79648,2000
3723.730766,2637.654976,659.30016,67.157456,2001
4112.459057,3018.634032,653.086016,53.992704,2002
4827.445998,3601.712,727.098816,60.745456,2003
5223.754656,3835.288336,839.09264,71.52128,2004
5876.55534,4424.38992,850.172576,84.957168,2005
6488.803816,4905.374192,898.533712,103.753488,2006
6978.611952,5289.903664,927.351072,129.515072,2007
7496.832207,5729.473744,970.11728,149.6744,2008
7886.532768,6028.500112,982.347712,164.40368,2009
8616.652695,6568.793552,1092.571824,199.585408,2010
9528.555734,7309.786256,1123.85872,245.989968,2011
9779.281618,7464.806432,1176.71192,277.599296,2012
9956.308273,7493.454393,1234.621903,320.127464,2013
9998.621253,7425.066688,1255.605168,370.221552,2014
9866.904318,7266.978828,1328.805063,380.052208,2015
9764.979745,7071.403711,1357.837577,421.726239,2016
10011.107108,7163.317856,1430.586816,486.35936,2017
10353.876989,7316.399776,1500.473952,575.368912,2018
10740.996069,7543.157408,1559.72816,630.17136,2019
10956.213369,7605.716883,1627.725238,687.880944,2020
11472.369171,7955.985419,1713.33998,773.866062,2021
11981.485527637165,8268.736945022232,1753.3351683334329,870.3415261935567,2022
12315.052927212015,8400.706462215232,1842.5022035181876,950.2758048658546,2023
12774.521134621718,8657.18066989093,1929.7563319793312,1033.2360665154602,2024
13192.794938101952,8903.664301359026,1989.9293149758394,1116.628861130215,2025
13627.445053787433,9139.144584882108,2071.8757898902586,1207.2320006565255,2026
14111.614097308477,9399.707007079967,2151.9037715740906,1304.7712735489913,2027
14572.097647610412,9649.347713156028,2238.4364460177303,1397.7299287350015,2028
15016.632245593442,9886.427311405565,2319.4769667430246,1490.7141797717807,2029
15473.99954836124,10127.554427494148,2402.4572053390184,1588.0762681829842,2030
15978.919154716852,10403.267171277108,2493.405192621878,1690.7056479056848,2031
