Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas
Germany,DEU,1920,429.208288,429.102032,0.106256,0.0
Germany,DEU,1921,473.179952,473.062704,0.117248,0.0
Germany,DEU,1922,455.460848,455.332608,0.12824,0.0
Germany,DEU,1923,331.929088,331.771538,0.15755,0.0
Germany,DEU,1924,451.793184,451.613647,0.179537,0.0
Germany,DEU,1925,458.065952,457.824128,0.241824,0.0
Germany,DEU,1926,413.236912,412.943795,0.293117,0.0
Germany,DEU,1927,481.185791,481.185791,0.0,0.0
Germany,DEU,1928,505.010924,501.19856,0.0,0.0
Germany,DEU,1929,539.234734,535.673136,0.0,0.0
Germany,DEU,1930,462.091761,459.289728,0.0,0.0
Germany,DEU,1931,385.964901,384.067823,0.0,0.0
Germany,DEU,1932,347.485746,346.057472,0.0,0.0
Germany,DEU,1933,364.98079,363.036448,0.0,0.0
Germany,DEU,1934,408.61977,405.088176,0.31144,0.021984
Germany,DEU,1935,452.332832,446.6416,1.311712,0.025648
Germany,DEU,1936,499.634416,492.445317,1.366662,0.043968
Germany,DEU,1937,563.512571,555.858112,1.384992,0.040304
Germany,DEU,1938,601.272623,591.659056,1.86864,0.032976
Germany,DEU,1939,648.625487,639.397312,2.27168,0.058624
Germany,DEU,1940,654.325001,645.746976,3.238994,0.029312
Germany,DEU,1941,660.793188,652.393473,2.766335,0.025648
Germany,DEU,1942,667.899432,661.989536,2.282672,0.025648
Germany,DEU,1943,679.430146,672.747004,2.180092,0.01832
Germany,DEU,1944,600.27312,597.92816,2.213056,0.131904
Germany,DEU,1945,116.064528,114.258176,1.670784,0.135568
Germany,DEU,1946,271.682438,268.24144,1.993216,0.16488
Germany,DEU,1947,317.660043,314.253952,1.769712,0.117248
Germany,DEU,1948,377.816373,364.809824,9.687616,0.102592
Germany,DEU,1949,432.148044,421.370992,5.91736,0.080608
Germany,DEU,1950,510.68183,496.900688,7.56616,0.043968
Germany,DEU,1951,576.865541,558.774425,11.076413,0.054961
Germany,DEU,1952,610.98058,590.362124,13.054754,0.098927
Germany,DEU,1953,623.491977,597.187877,17.125637,0.227169
Germany,DEU,1954,659.731927,625.474112,24.413232,0.362736
Germany,DEU,1955,723.498418,682.295215,29.880071,0.72914
Germany,DEU,1956,766.19082,715.128283,38.89721,1.058901
Germany,DEU,1957,777.907669,720.170464,45.503002,1.051563
Germany,DEU,1958,756.379172,688.72908,55.125147,1.036917
Germany,DEU,1959,755.794581,670.654483,70.426085,1.187142
Germany,DEU,1960,813.95021,707.213807,90.592808,1.348358
Germany,DEU,1961,834.839623,711.644605,105.69128,1.48025
Germany,DEU,1962,883.168603,732.012868,132.368779,1.96756
Germany,DEU,1963,945.497986,761.686976,164.114224,2.561136
Germany,DEU,1964,968.917486,755.614921,190.004766,3.82523
