Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas
India,IND,1950,61.102632,52.559786,7.188768,0.0
India,IND,1951,64.022191,54.512339,7.851952,0.0
India,IND,1952,67.426227,58.030006,7.562119,0.0
India,IND,1953,68.704906,59.067189,7.679744,0.0
India,IND,1954,72.413709,60.592102,9.541056,0.0
India,IND,1955,78.787827,63.711544,12.75072,0.0
India,IND,1956,81.656449,65.156897,13.945184,0.0
India,IND,1957,91.635453,72.83782,15.894432,0.0
India,IND,1958,95.815882,75.818667,16.842813,0.0
India,IND,1959,101.447362,79.523573,18.386566,0.0
India,IND,1960,111.325172,87.878107,19.444848,0.0
India,IND,1961,120.404403,94.885431,21.310423,0.003664
India,IND,1962,132.581675,103.260517,24.885252,0.010992
India,IND,1963,142.44429,110.420304,27.106272,0.010992
India,IND,1964,139.488404,105.924388,28.121885,0.021985
India,IND,1965,153.702096,116.45623,30.814921,0.282134
India,IND,1966,159.37356,116.984062,35.676368,0.31144
India,IND,1967,159.555999,119.095736,32.697536,0.487312
India,IND,1968,174.069502,123.826282,42.249584,0.75112
India,IND,1969,177.413523,123.367865,45.3502,0.996627
India,IND,1970,181.722811,123.551135,49.332096,0.923328
India,IND,1971,191.963855,126.966668,55.44266,1.084525
India,IND,1972,203.036163,134.376967,58.877807,1.205476
India,IND,1973,209.095226,137.809075,61.749392,1.168816
India,IND,1974,215.853376,145.639174,60.628208,1.359344
India,IND,1975,234.20934,161.338182,61.838227,1.733097
India,IND,1976,244.749594,168.920623,63.438496,2.293664
India,IND,1977,258.961971,177.509864,68.557104,2.480528
India,IND,1978,263.149789,174.688774,75.317184,2.740672
India,IND,1979,276.284982,180.622676,82.663504,3.030128
India,IND,1980,291.711364,197.337053,83.176464,2.487856
India,IND,1981,314.966469,210.305446,89.71304,2.883568
India,IND,1982,325.380295,213.123221,94.406624,4.36016
India,IND,1983,352.199157,232.519456,99.169824,5.243184
India,IND,1984,361.559743,231.492925,106.104774,6.170118
India,IND,1985,397.592455,253.289252,116.759685,7.199698
India,IND,1986,426.309754,273.171658,121.857312,10.310496
India,IND,1987,455.343444,291.856287,127.671122,12.776272
India,IND,1988,491.692596,317.17204,133.615088,15.2056
India,IND,1989,540.651493,339.625896,150.714021,18.517739
India,IND,1990,577.996538,366.514068,158.166611,21.097187
India,IND,1991,615.365508,393.043111,166.422544,23.563184
India,IND,1992,655.447568,411.415002,188.0548,27.256496
India,IND,1993,677.299816,433.121813,186.878656,26.996352
India,IND,1994,716.268589,455.720366,198.9552,28.996896
India,IND,1995,761.449242,471.723186,216.281275,39.050735
India,IND,1996,825.200806,504.498913,243.160345,39.746906
India,IND,1997,858.935134,527.722798,244.201936,46.023504
India,IND,1998,876.952083,524.125992,262.892,47.59536
India,IND,1999,950.950878,560.528326,300.510056,42.315536
India,IND,2000,978.103843,572.87681,312.286549,43.872736
India,IND,2001,991.731661,582.083456,316.115271,43.568933
India,IND,2002,1022.175223,598.598121,324.587833,47.133696
India,IND,2003,1058.725338,625.890755,329.936696,49.987952
India,IND,2004,1124.517704,669.968548,347.518127,49.584753
India,IND,2005,1184.926501,721.469674,351.646194,50.438624
India,IND,2006,1258.643267,773.565357,368.891165,49.442016
India,IND,2007,1356.953125,842.478182,391.02779,52.695648
India,IND,2008,1461.518268,910.796506,412.316303,63.046601
India,IND,2009,1611.416152,983.94822,431.609933,112.684767
India,IND,2010,1676.495006,1015.983089,438.373461,134.24424
India,IND,2011,1778.472509,1089.807084,458.909201,136.364239
India,IND,2012,1962.59435,1244.606043,488.554125,125.604798
India,IND,2013,2037.415492,1319.99865,495.642138,110.689227
India,IND,2014,2187.343005,1447.354894,511.166221,109.4675
India,IND,2015,2270.766191,1487.461399,554.788779,106.870633
India,IND,2016,2383.815964,1529.990408,613.165557,113.622467
India,IND,2017,2434.867906,1560.98815,631.08743,118.922003
India,IND,2018,2600.446463,1677.600364,655.190293,126.201229
India,IND,2019,2626.459473,1677.653708,674.011463,128.675994
India,IND,2020,2445.011942,1588.060207,603.60216,127.63538
India,IND,2021,2709.683625,1802.311897,622.148121,133.450811
