Total,Coal,Oil,Gas,Year
291.711364,197.337053,83.176464,2.487856,1980
314.966469,210.305446,89.71304,2.883568,1981
325.380295,213.123221,94.406624,4.36016,1982
352.199157,232.519456,99.169824,5.243184,1983
361.559743,231.492925,106.104774,6.170118,1984
397.592455,253.289252,116.759685,7.199698,1985
426.309754,273.171658,121.857312,10.310496,1986
455.343444,291.856287,127.671122,12.776272,1987
491.692596,317.17204,133.615088,15.2056,1988
540.651493,339.625896,150.714021,18.517739,1989
577.996538,366.514068,158.166611,21.097187,1990
615.365508,393.043111,166.422544,23.563184,1991
655.447568,411.415002,188.0548,27.256496,1992
677.299816,433.121813,186.878656,26.996352,1993
716.268589,455.720366,198.9552,28.996896,1994
761.449242,471.723186,216.281275,39.050735,1995
825.200806,504.498913,243.160345,39.746906,1996
858.935134,527.722798,244.201936,46.023504,1997
876.952083,524.125992,262.892,47.59536,1998
950.950878,560.528326,300.510056,42.315536,1999
978.103843,572.87681,312.286549,43.872736,2000
991.731661,582.083456,316.115271,43.568933,2001
1022.175223,598.598121,324.587833,47.133696,2002
1058.725338,625.890755,329.936696,49.987952,2003
1124.517704,669.968548,347.518127,49.584753,2004
1184.926501,721.469674,351.646194,50.438624,2005
1258.643267,773.565357,368.891165,49.442016,2006
1356.953125,842.478182,391.02779,52.695648,2007
1461.518268,910.796506,412.316303,63.046601,2008
1611.416152,983.94822,431.609933,112.684767,2009
1676.495006,1015.983089,438.373461,134.24424,2010
1778.472509,1089.807084,458.909201,136.364239,2011
1962.59435,1244.606043,488.554125,125.604798,2012
2037.415492,1319.99865,495.642138,110.689227,2013
2187.343005,1447.354894,511.166221,109.4675,2014
2270.766191,1487.461399,554.788779,106.870633,2015
2383.815964,1529.990408,613.165557,113.622467,2016
2434.867906,1560.98815,631.08743,118.922003,2017
2600.446463,1677.600364,655.190293,126.201229,2018
2626.459473,1677.653708,674.011463,128.675994,2019
2445.011942,1588.060207,603.60216,127.63538,2020
2709.683625,1802.311897,622.148121,133.450811,2021
2591.0319734226105,1715.7115176147488,602.2966679941147,128.8942098045589,2022
2670.8673019864377,1811.2955163966164,578.7460706024004,134.19770380855266,2023
2749.9783169052353,1876.9799881214783,580.246263405344,133.97196708244195,2024
2706.168182883199,1866.0713771600513,553.2247938448508,134.17334678084984,2025
2812.972131033503,1969.6253960579536,543.2583950945079,137.34797921474558,2026
2816.8343824666135,1985.6928159555716,529.5973338542972,136.60683721442393,2027
2850.695429231583,2037.3769394864576,508.1742948856181,138.69047607789287,2028
2915.311050023572,2104.320493030304,497.2582556550156,139.81474963983615,2029
2924.625629588845,2132.451281114048,477.22513317031655,140.26525331180534,2030
2982.8093594776396,2200.5599004243077,460.24639806051437,142.11752808535152,2031
