Total,Coal,Oil,Gas,Year
944.868566,224.299088,630.658672,47.932448,1980
926.835495,247.357616,590.551194,48.59216,1981
897.407791,242.63008,566.787824,49.746128,1982
880.909402,229.795088,559.573408,53.34784,1983
937.069892,260.175961,568.09732,71.696872,1984
912.400813,271.788192,529.480976,76.98064,1985
912.259933,257.465616,540.355728,81.252864,1986
902.53035,250.394096,536.237392,82.707472,1987
985.464274,278.511632,584.909968,86.206592,1988
1021.681739,277.104656,615.156288,92.724848,1989
1158.129439,317.934282,670.647609,118.872345,1990
1169.777716,317.799425,673.006559,126.994406,1991
1179.504316,312.155887,686.56529,128.434625,1992
1172.487308,317.625427,672.018016,131.217458,1993
1227.513532,325.33779,712.016299,137.66784,1994
1239.9094,335.293184,709.328445,142.649074,1995
1252.447045,344.117349,706.887939,148.44827,1996
1245.13936,349.675392,692.050712,153.033751,1997
1205.249923,327.404665,676.243855,156.330316,1998
1241.835604,345.281251,685.684394,165.804437,1999
1264.594656,372.149786,676.422214,170.603597,2000
1249.988539,381.227601,654.741169,169.623171,2001
1279.3623,398.394136,665.69478,173.418885,2002
1287.691834,411.820508,655.805004,178.651846,2003
1283.076662,419.813966,644.657995,177.564951,2004
1290.599508,430.348308,641.774213,176.001001,2005
1267.623958,427.482811,604.984148,192.654372,2006
1303.36203,444.982442,607.551169,209.122344,2007
1232.480695,426.290792,562.867939,204.484663,2008
1163.375134,411.271552,515.862741,202.176743,2009
1215.058103,445.976928,521.743014,213.341562,2010
1265.034863,430.475991,552.298459,247.922677,2011
1306.182513,450.013486,564.128956,257.022425,2012
1315.5687,481.216134,541.435289,256.490809,2013
1264.413251,472.934047,496.771315,258.548469,2014
1223.605161,465.830288,476.378763,246.428641,2015
1203.888206,456.551209,460.878576,251.595944,2016
1188.358949,458.482158,448.847338,245.692546,2017
1143.411908,441.964043,432.510939,233.953267,2018
1106.015486,432.250117,415.860472,224.230136,2019
1042.224016,399.366949,387.85735,222.604846,2020
1067.398435,418.820499,395.359389,221.525076,2021
1089.2752411531642,439.211560722613,393.50538589254296,226.61025644327333,2022
1140.8187637402182,471.47775976043016,400.1796994146209,239.6646973600142,2023
1195.4261007486414,507.72452234430597,400.5874674788391,258.2345796307427,2024
1257.7396113342043,549.9623545877513,398.6003987800294,280.7376023423385,2025
1320.5497548650064,595.1729747125919,390.43192908989283,307.17590939955426,2026
1389.7394681765004,645.3487048885974,379.3357079223035,337.9464699572403,2027
1463.681473510832,699.9377842751044,364.1163124397801,373.2932558240715,2028
1544.3297904910446,759.7438481326933,345.76118569757386,413.26747491284164,2029
1630.35613705472,824.2888952373701,323.516755684165,457.8304758294221,2030
1722.179974604242,893.722281081489,297.67813501909205,506.9285163506275,2031
