Total,Coal,Oil,Gas,Year
3.336441,0.0,3.154704,0.0,1980
3.279857,0.0,3.107072,0.0,1981
3.036573,0.0,2.872576,0.0,1982
2.611411,0.0,2.432896,0.0,1983
3.284168,0.0,3.1144,0.0,1984
2.650504,0.0,2.4732,0.0,1985
2.636446,0.0,2.48028,0.0,1986
2.424574,0.0,2.264352,0.0,1987
2.710809,0.0,2.531824,0.014656,1988
3.661877,0.0,3.488128,0.014656,1989
3.138804,0.0,2.934864,0.010992,1990
3.379206,0.0,3.165696,0.007328,1991
3.422666,0.0,3.173024,0.003664,1992
3.538709,0.0,3.271952,0.025648,1993
3.83695,0.0,3.520771,0.036675,1994
3.430121,0.0,3.055776,0.0916,1995
3.664147,0.0,3.249968,0.084272,1996
3.182368,0.0,2.791483,0.044018,1997
3.333565,0.0,2.887761,0.04026,1998
3.603593,0.0,3.18768,0.010992,1999
3.902052,0.0,3.359888,0.0,2000
4.2581,0.0,3.638352,0.0,2001
4.436925,0.271136,3.495456,0.007328,2002
4.927512,0.281921,3.94689,0.021968,2003
5.238223,0.370064,3.891168,0.025648,2004
5.538919,0.370064,4.10368,0.025648,2005
4.42239,0.447008,2.82128,0.021984,2006
4.862531,0.707152,2.91288,0.021984,2007
4.740295,0.597232,2.934864,0.021984,2008
5.257668,0.740128,3.206,0.032976,2009
6.862391,0.674176,4.572672,0.047632,2010
7.818837,0.942082,5.051319,0.036657,2011
7.362129,0.817072,4.697248,0.05496,2012
7.852669,0.813784,4.934021,0.084311,2013
8.72436,1.0992,5.653552,0.07328,2014
9.845416,1.150496,6.859008,0.047632,2015
10.015698,1.205456,6.771072,0.043968,2016
10.760132,1.439952,7.258384,0.03664,2017
11.330392,2.260688,6.950608,0.021984,2018
12.761457,2.08788,7.970572,0.029304,2019
12.743876,1.894052,8.14475,0.031372,2020
13.59791,2.190262,8.700009,0.033937,2021
16.179654307079147,3.0997434226857314,9.82252861277335,0.005919472899230626,2022
17.33063289702773,2.7710119671633437,11.03625267009523,-0.010540811518384798,2023
16.083028013227114,2.4060160878418992,10.027500178116085,0.017727195279106246,2024
18.039472298963773,3.1571377262299745,11.004980116530284,0.025162571629038066,2025
21.101065890370784,4.110966438582986,12.82338016759157,-0.0372570965918051,2026
21.12088030757897,3.3693505062705107,13.12228934529032,-0.027691860288948836,2027
20.397148089339282,3.0027894629570233,12.572101078761166,0.01712369583606812,2028
22.92183920992281,4.362191311576057,13.781863542423132,-0.013882430270679286,2029
26.204629827541837,5.149688540926244,15.668337378236284,-0.07078658473120353,2030
25.69713037559764,3.889478894767402,15.846327574935325,-0.04133512484227537,2031
