Total,Coal,Oil,Gas,Year
4808.520356,1453.794,2244.444,1058.054,1980
4686.369198,1502.932,2101.611,1032.089,1981
4447.255938,1449.085,1994.45,960.901,1982
4429.374051,1504.796,1978.053,901.094,1983
4662.141491,1616.103,2034.52,962.252,1984
4652.579989,1655.025,2023.815,926.516,1985
4663.369645,1635.733,2112.065,867.866,1986
4825.650651,1709.484,2143.098,922.972,1987
5050.475381,1792.727,2241.115,964.373,1988
5132.134279,1813.144,2239.733,1026.955,1989
5122.496248,1815.064425,2179.491846,1023.458015,1990
5064.987175,1797.788993,2121.764756,1043.025858,1991
5175.219975,1817.520294,2174.649644,1080.669786,1992
5274.36263,1879.878271,2182.044987,1109.642667,1993
5365.578825,1894.595547,2227.476052,1137.471221,1994
5427.798477,1914.163944,2218.736507,1186.695895,1995
5616.430864,1994.60743,2306.560227,1206.789637,1996
5691.864597,2040.030153,2327.345506,1214.479169,1997
5737.12937,2064.125452,2371.81586,1191.601288,1998
5810.331395,2065.357732,2435.456973,1199.103307,1999
6016.350574,2165.606328,2489.787517,1252.332071,2000
5911.988517,2100.69389,2503.543873,1199.432628,2001
5952.698581,2105.588304,2497.583755,1239.006806,2002
6015.804219,2145.491263,2559.10883,1201.862436,2003
6117.962686,2166.10556,2632.290252,1205.237349,2004
6137.603445,2189.646259,2644.236598,1187.618743,2005
6057.163161,2153.509929,2610.822803,1173.784429,2006
6135.287208,2176.462796,2593.582204,1248.121541,2007
5918.868654,2136.484804,2415.427499,1253.226709,2008
5482.977899,1872.668065,2280.456426,1231.750925,2009
5681.392035,1982.983381,2300.353344,1290.5145,2010
5546.628958,1872.951133,2251.761189,1310.473931,2011
5345.454261,1658.503321,2195.781516,1372.082466,2012
5480.926097,1720.268523,2224.219492,1410.366932,2013
5528.871276,1710.368415,2247.447818,1435.02015,2014
5376.577933,1479.001098,2285.320769,1475.99299,2015
5251.757629,1347.797519,2299.606916,1481.713018,2016
5210.957584,1308.479533,2314.675386,1460.391796,2017
5376.657233,1256.201494,2365.28348,1618.720337,2018
5259.143836,1070.723931,2358.831137,1673.9991,2019
4715.691109,878.972885,2049.3365,1653.677852,2020
5007.335889,1002.299987,2233.77818,1637.038462,2021
5377.880049042164,1185.0439458054823,2366.6640417662975,1689.8608036065816,2022
5742.754828169346,1332.4088029552752,2540.197481006425,1722.0541984929482,2023
6025.5356616187455,1433.12225981555,2650.8181210692137,1784.272240203215,2024
6401.451555199386,1552.2873660020591,2823.04703159215,1855.4027080521137,2025
6766.35575616188,1655.412567935572,2968.979518240298,1956.7719957094334,2026
7146.7718274206,1740.9527294280783,3137.5847647291334,2064.510640334257,2027
7519.287334020135,1807.7454473616426,3291.6694119282724,2196.7165769071744,2028
7922.9640893860305,1867.5218600185058,3466.918263574821,2342.710702731696,2029
8324.754275998974,1909.8755214107052,3634.4066945955456,2510.2167763346442,2030
8742.033180437777,1938.6220554451206,3813.7062312032176,2692.1485671333776,2031
