Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas
Japan,JPN,1920,74.280272,73.250688,0.959968,0.069616
Japan,JPN,1921,66.809376,65.834752,0.916,0.058624
Japan,JPN,1922,71.42968,70.495408,0.875651,0.058621
Japan,JPN,1923,75.907088,75.090016,0.76944,0.047632
Japan,JPN,1924,79.347584,78.537877,0.773068,0.036638
Japan,JPN,1925,82.011312,81.153936,0.817072,0.040304
Japan,JPN,1926,82.60488,81.8025,0.762078,0.040302
Japan,JPN,1927,89.482208,88.668833,0.762081,0.051294
Japan,JPN,1928,92.390568,89.643424,0.802416,0.047632
Japan,JPN,1929,94.880335,91.863808,0.853712,0.051296
Japan,JPN,1930,86.165789,83.370656,0.864704,0.076944
Japan,JPN,1931,77.904004,75.137779,0.839017,0.139225
Japan,JPN,1932,77.980502,75.353824,0.692496,0.0916
Japan,JPN,1933,91.342495,88.273088,0.619216,0.084272
Japan,JPN,1934,101.202823,98.033869,0.78046,0.084275
Japan,JPN,1935,106.382481,102.441776,0.963632,0.07328
Japan,JPN,1936,116.849074,112.613174,1.080846,0.073278
Japan,JPN,1937,125.430964,121.26753,1.084512,0.095261
Japan,JPN,1938,131.735124,127.833405,1.08085,0.091597
Japan,JPN,1939,127.746841,124.15108,0.989252,0.098925
Japan,JPN,1940,153.24428,150.125072,0.916,0.102592
Japan,JPN,1941,154.604564,150.832314,0.791405,0.098926
Japan,JPN,1942,147.791833,144.81601,0.725454,0.098926
Japan,JPN,1943,150.637473,147.94859,0.747474,0.08061
Japan,JPN,1944,138.732713,136.48406,0.703469,0.080606
Japan,JPN,1945,76.635163,75.306192,0.67784,0.07328
Japan,JPN,1946,52.70656,51.592784,0.589904,0.065952
Japan,JPN,1947,70.032368,68.795264,0.556928,0.069616
Japan,JPN,1948,88.08237,86.583984,0.487312,0.0916
Japan,JPN,1949,98.420107,96.103056,0.593568,0.102592
Japan,JPN,1950,102.540986,95.729328,4.47008,0.135568
Japan,JPN,1951,123.457651,111.00088,9.057408,0.161216
Japan,JPN,1952,130.405972,113.939871,12.768681,0.179531
Japan,JPN,1953,145.769795,119.178928,22.042624,0.216176
Japan,JPN,1954,142.534085,113.008752,23.973552,0.2748
Japan,JPN,1955,141.87501,108.890416,27.417712,0.344416
Japan,JPN,1956,160.635757,121.380992,32.349456,0.468992
Japan,JPN,1957,188.066748,136.038007,43.890201,0.637524
Japan,JPN,1958,181.160879,126.484944,46.342272,0.926992
Japan,JPN,1959,192.619987,125.847408,57.0668,1.17248
Japan,JPN,1960,232.499641,139.144064,80.615328,1.601168
Japan,JPN,1961,282.786898,160.86634,107.701011,2.044538
Japan,JPN,1962,292.86443,154.214096,121.762048,2.660064
Japan,JPN,1963,324.835463,155.338944,151.022752,3.671328
Japan,JPN,1964,358.891094,160.206765,178.38002,4.004711
Japan,JPN,1965,386.471179,165.748368,200.955744,3.60904
Japan,JPN,1966,419.245117,170.450769,226.180696,3.700672
Japan,JPN,1967,489.30743,181.498545,282.660828,3.909459
Japan,JPN,1968,561.912555,200.119048,334.000735,4.228228
Japan,JPN,1969,653.215421,221.022233,402.074113,4.719206
Japan,JPN,1970,767.96311,229.263808,502.715456,7.67608
Japan,JPN,1971,796.54428,206.384843,552.755827,8.093739
Japan,JPN,1972,852.170216,200.215616,611.364048,7.983856
Japan,JPN,1973,914.265202,214.385162,651.025791,10.581674
Japan,JPN,1974,914.306206,229.190528,635.278976,14.16136
Japan,JPN,1975,868.510753,213.421571,606.028154,17.15492
Japan,JPN,1976,907.144545,208.382672,644.761408,20.68328
Japan,JPN,1977,933.237686,204.520014,668.695698,24.684271
Japan,JPN,1978,901.590083,174.739115,651.504189,34.503748
Japan,JPN,1979,953.071343,190.938368,679.15904,40.89024
Japan,JPN,1980,944.868566,224.299088,630.658672,47.932448
Japan,JPN,1981,926.835495,247.357616,590.551194,48.59216
Japan,JPN,1982,897.407791,242.63008,566.787824,49.746128
Japan,JPN,1983,880.909402,229.795088,559.573408,53.34784
Japan,JPN,1984,937.069892,260.175961,568.09732,71.696872
Japan,JPN,1985,912.400813,271.788192,529.480976,76.98064
Japan,JPN,1986,912.259933,257.465616,540.355728,81.252864
Japan,JPN,1987,902.53035,250.394096,536.237392,82.707472
Japan,JPN,1988,985.464274,278.511632,584.909968,86.206592
Japan,JPN,1989,1021.681739,277.104656,615.156288,92.724848
Japan,JPN,1990,1158.129439,317.934282,670.647609,118.872345
Japan,JPN,1991,1169.777716,317.799425,673.006559,126.994406
Japan,JPN,1992,1179.504316,312.155887,686.56529,128.434625
Japan,JPN,1993,1172.487308,317.625427,672.018016,131.217458
Japan,JPN,1994,1227.513532,325.33779,712.016299,137.66784
Japan,JPN,1995,1239.9094,335.293184,709.328445,142.649074
Japan,JPN,1996,1252.447045,344.117349,706.887939,148.44827
Japan,JPN,1997,1245.13936,349.675392,692.050712,153.033751
Japan,JPN,1998,1205.249923,327.404665,676.243855,156.330316
Japan,JPN,1999,1241.835604,345.281251,685.684394,165.804437
Japan,JPN,2000,1264.594656,372.149786,676.422214,170.603597
Japan,JPN,2001,1249.988539,381.227601,654.741169,169.623171
Japan,JPN,2002,1279.3623,398.394136,665.69478,173.418885
Japan,JPN,2003,1287.691834,411.820508,655.805004,178.651846
Japan,JPN,2004,1283.076662,419.813966,644.657995,177.564951
Japan,JPN,2005,1290.599508,430.348308,641.774213,176.001001
Japan,JPN,2006,1267.623958,427.482811,604.984148,192.654372
Japan,JPN,2007,1303.36203,444.982442,607.551169,209.122344
Japan,JPN,2008,1232.480695,426.290792,562.867939,204.484663
Japan,JPN,2009,1163.375134,411.271552,515.862741,202.176743
Japan,JPN,2010,1215.058103,445.976928,521.743014,213.341562
Japan,JPN,2011,1265.034863,430.475991,552.298459,247.922677
Japan,JPN,2012,1306.182513,450.013486,564.128956,257.022425
Japan,JPN,2013,1315.5687,481.216134,541.435289,256.490809
Japan,JPN,2014,1264.413251,472.934047,496.771315,258.548469
Japan,JPN,2015,1223.605161,465.830288,476.378763,246.428641
Japan,JPN,2016,1203.888206,456.551209,460.878576,251.595944
Japan,JPN,2017,1188.358949,458.482158,448.847338,245.692546
Japan,JPN,2018,1143.411908,441.964043,432.510939,233.953267
Japan,JPN,2019,1106.015486,432.250117,415.860472,224.230136
Japan,JPN,2020,1042.224016,399.366949,387.85735,222.604846
Japan,JPN,2021,1067.398435,418.820499,395.359389,221.525076
