Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas
USA,USA,1920,1738.245746,1465.534048,230.645136,39.710432
USA,USA,1921,1423.668621,1142.651376,246.360032,32.961344
USA,USA,1922,1435.758303,1112.891549,282.487794,37.948145
USA,USA,1923,1896.735797,1509.469072,334.41328,50.127184
USA,USA,1924,1698.320274,1313.206912,325.557392,56.82864
USA,USA,1925,1758.185375,1340.480885,341.243694,59.173725
USA,USA,1926,1906.048416,1477.933024,345.266048,65.336448
USA,USA,1927,1862.839089,1376.69304,396.20664,71.938976
USA,USA,1928,1830.964925,1330.157574,404.402197,78.054036
USA,USA,1929,1963.506247,1404.589697,445.598193,95.462034
USA,USA,1930,1744.916289,1238.165588,393.406517,96.784356
USA,USA,1931,1484.959144,1021.481756,366.620746,84.213584
USA,USA,1932,1257.814095,834.232974,337.650287,77.954809
USA,USA,1933,1348.876843,889.861024,373.786624,78.101824
USA,USA,1934,1436.238662,963.920254,374.993038,88.811923
USA,USA,1935,1492.320967,982.155935,405.20642,96.293821
USA,USA,1936,1713.411699,1143.798208,448.356352,108.813472
USA,USA,1937,1792.609877,1144.951048,513.635228,120.94156
USA,USA,1938,1515.749834,906.793837,482.195889,115.320457
USA,USA,1939,1670.920467,1024.987932,508.157612,124.121937
USA,USA,1940,1874.985099,1168.881952,557.620496,133.706688
USA,USA,1941,2043.5849,1294.762336,588.735184,141.532992
USA,USA,1942,2198.264975,1458.596868,565.693233,153.855281
USA,USA,1943,2272.05905,1470.80288,612.935904,171.95152
USA,USA,1944,2444.903503,1545.850271,700.119733,186.574264
USA,USA,1945,2359.55147,1421.423152,727.37728,197.676464
USA,USA,1946,2257.493764,1298.758208,737.018463,203.103178
USA,USA,1947,2485.854436,1449.230772,791.342223,224.086245
USA,USA,1948,2582.558492,1433.190294,874.345227,251.76479
USA,USA,1949,2164.862411,1063.102272,813.723104,265.068416
USA,USA,1950,2541.485265,1257.231984,896.80064,319.218672
USA,USA,1951,2618.711623,1211.598563,960.661843,376.209056
USA,USA,1952,2551.219405,1074.173334,1000.966719,402.786604
USA,USA,1953,2612.97111,1065.955029,1050.078939,423.341629
USA,USA,1954,2489.462061,913.446192,1063.212192,443.999856
USA,USA,1955,2728.511904,1026.22183,1147.903433,479.189557
USA,USA,1956,2859.994777,1068.35782,1203.786762,505.88913
USA,USA,1957,2835.772132,1024.080672,1193.661584,540.645184
USA,USA,1958,2747.107657,888.344128,1220.046048,570.700976
USA,USA,1959,2831.923117,910.977838,1258.457393,593.209698
USA,USA,1960,2897.31526,917.963904,1281.63056,630.0248
USA,USA,1961,2886.8727,887.442784,1297.316144,636.414816
USA,USA,1962,2993.902031,920.81816,1334.747568,676.367072
USA,USA,1963,3126.48747,987.00832,1359.256064,718.45544
USA,USA,1964,3264.313805,1049.17659,1393.919074,759.071735
USA,USA,1965,3399.546756,1090.618912,1464.691328,782.604752
USA,USA,1966,3571.421314,1132.718272,1529.661376,842.20704
USA,USA,1967,3705.460953,1163.048864,1589.194048,881.2836
USA,USA,1968,3840.919556,1139.602928,1689.422768,936.360848
USA,USA,1969,4035.14534,1157.999872,1781.627328,1018.082704
USA,USA,1970,4339.686007,1168.090528,2038.08168,1059.211104
USA,USA,1971,4365.465254,1107.406428,2097.304811,1096.927397
USA,USA,1972,4573.015379,1124.840672,2269.173824,1115.673344
USA,USA,1973,4785.048993,1220.645,2325.358,1174.859
USA,USA,1974,4621.045771,1199.284,2227.464,1134.215
USA,USA,1975,4478.225949,1195.032,2190.352,1042.504
USA,USA,1976,4747.762413,1281.173,2350.579,1062.805
USA,USA,1977,4889.607301,1315.721,2478.311,1041.058
USA,USA,1978,4941.361664,1314.183,2524.642,1045.228
USA,USA,1979,5008.578779,1427.458,2441.892,1080.485
USA,USA,1980,4808.520356,1453.794,2244.444,1058.054
USA,USA,1981,4686.369198,1502.932,2101.611,1032.089
USA,USA,1982,4447.255938,1449.085,1994.45,960.901
USA,USA,1983,4429.374051,1504.796,1978.053,901.094
USA,USA,1984,4662.141491,1616.103,2034.52,962.252
USA,USA,1985,4652.579989,1655.025,2023.815,926.516
USA,USA,1986,4663.369645,1635.733,2112.065,867.866
USA,USA,1987,4825.650651,1709.484,2143.098,922.972
USA,USA,1988,5050.475381,1792.727,2241.115,964.373
USA,USA,1989,5132.134279,1813.144,2239.733,1026.955
USA,USA,1990,5122.496248,1815.064425,2179.491846,1023.458015
USA,USA,1991,5064.987175,1797.788993,2121.764756,1043.025858
USA,USA,1992,5175.219975,1817.520294,2174.649644,1080.669786
USA,USA,1993,5274.36263,1879.878271,2182.044987,1109.642667
USA,USA,1994,5365.578825,1894.595547,2227.476052,1137.471221
USA,USA,1995,5427.798477,1914.163944,2218.736507,1186.695895
USA,USA,1996,5616.430864,1994.60743,2306.560227,1206.789637
USA,USA,1997,5691.864597,2040.030153,2327.345506,1214.479169
USA,USA,1998,5737.12937,2064.125452,2371.81586,1191.601288
USA,USA,1999,5810.331395,2065.357732,2435.456973,1199.103307
USA,USA,2000,6016.350574,2165.606328,2489.787517,1252.332071
USA,USA,2001,5911.988517,2100.69389,2503.543873,1199.432628
USA,USA,2002,5952.698581,2105.588304,2497.583755,1239.006806
USA,USA,2003,6015.804219,2145.491263,2559.10883,1201.862436
USA,USA,2004,6117.962686,2166.10556,2632.290252,1205.237349
USA,USA,2005,6137.603445,2189.646259,2644.236598,1187.618743
USA,USA,2006,6057.163161,2153.509929,2610.822803,1173.784429
USA,USA,2007,6135.287208,2176.462796,2593.582204,1248.121541
USA,USA,2008,5918.868654,2136.484804,2415.427499,1253.226709
USA,USA,2009,5482.977899,1872.668065,2280.456426,1231.750925
USA,USA,2010,5681.392035,1982.983381,2300.353344,1290.5145
USA,USA,2011,5546.628958,1872.951133,2251.761189,1310.473931
USA,USA,2012,5345.454261,1658.503321,2195.781516,1372.082466
USA,USA,2013,5480.926097,1720.268523,2224.219492,1410.366932
USA,USA,2014,5528.871276,1710.368415,2247.447818,1435.02015
USA,USA,2015,5376.577933,1479.001098,2285.320769,1475.99299
USA,USA,2016,5251.757629,1347.797519,2299.606916,1481.713018
USA,USA,2017,5210.957584,1308.479533,2314.675386,1460.391796
USA,USA,2018,5376.657233,1256.201494,2365.28348,1618.720337
USA,USA,2019,5259.143836,1070.723931,2358.831137,1673.9991
